pose_landmarking_mem.committed_Committed_AS,pose_landmarking_system.active_processes_active,pose_landmarking_system.cpu_user,pose_landmarking_system.file_nr_used_used,pose_landmarking_system.processes_running,pose_landmarking_system.ram_buffers,pose_landmarking_system.ram_cached,pose_landmarking_system.ram_free,pose_landmarking_system.ram_used,Target
31832.79,1665,10.075567,15349,4,52.73047,1642.3945,192.9492,4903.02,6
31834.52,1666,9.623431,15349,5,52.73047,1642.3945,191.5117,4904.457,6
31832.79,1665,10.151007,15349,4,52.73828,1642.3945,195.9688,4899.992,6
31832.61,1665,10.058676,15349,7,52.74219,1642.4102,198.9883,4896.953,6
31834.91,1666,10.962343,15349,5,52.74219,1642.4102,204.168,4891.773,6
31832.8,1665,9.715243,15349,4,52.74609,1642.4219,201.6367,4894.289,6
31832.8,1665,10.134003,15317,5,52.74609,1642.4219,198.8008,4897.125,6
31832.8,1665,10.125523,15317,4,52.75391,1642.4219,205.2617,4890.656,6
31832.8,1665,9.815436,15317,4,52.75391,1642.4258,206.375,4889.539,6
31834.69,1666,10.15953,15317,5,52.75391,1642.4258,206.5781,4889.336,6
31832.83,1666,10.151007,15317,4,52.76172,1642.4297,203.6797,4892.223,6
31832.83,1668,10.486577,15285,4,52.76172,1642.4336,201.2969,4894.602,6
31832.85,1668,10.092515,15349,4,52.76172,1642.4375,203.5664,4892.328,6
31832.98,1668,9.663866,15349,4,52.76172,1642.4375,206.1133,4889.781,6
31834.76,1669,9.831933,15349,5,52.76172,1642.4375,196.9023,4898.992,6
31833.04,1668,10.579345,15349,4,52.76953,1642.4375,197.8867,4898.0,6
31833.04,1668,10.243493,15317,4,52.76953,1642.4414,205.1055,4890.777,6
31833.04,1668,10.084034,15349,5,52.76953,1642.4414,198.9492,4896.934,6
31833.04,1668,9.840202,15317,4,52.76953,1642.4414,190.3164,4905.566,6
31834.92,1669,10.521886,15317,5,52.76953,1642.4414,193.2656,4902.617,6
31832.95,1668,10.22632,15317,4,52.77734,1642.4414,185.5312,4910.344,6
31833.02,1668,10.0,15317,6,52.77734,1642.4414,187.457,4908.418,6
31834.73,1669,10.455312,15317,5,52.79297,1642.4414,194.4219,4901.438,6
31833.02,1665,9.823678,15317,4,52.79297,1642.4453,191.4453,4904.41,6
31852.46,1666,10.0,15317,6,52.79297,1642.4453,191.2148,4904.641,6
31833.03,1664,10.016835,15285,4,52.79297,1642.4453,188.5156,4907.34,6
31833.04,1663,10.092515,15285,4,52.80859,1642.4492,185.2461,4910.59,6
31834.71,1664,10.420168,15285,5,52.80859,1642.4492,184.7656,4911.07,6
31833.0,1663,10.084034,15285,4,52.80859,1642.4492,185.0469,4910.789,6
31833.33,1664,10.22632,15285,5,52.80859,1642.4531,192.4609,4903.371,6
31833.06,1663,9.941028,15285,16,52.80859,1642.4531,188.0859,4907.746,6
31833.06,1663,10.260723,15253,4,52.81641,1642.4531,186.9766,4908.848,6
31835.1,1664,10.075567,15285,5,52.81641,1642.4531,192.7539,4903.07,6
31833.12,1663,10.260723,15253,4,52.81641,1642.4531,191.3555,4904.469,6
31833.12,1665,10.486577,15253,5,52.81641,1642.5781,187.6367,4908.062,6
31833.12,1663,10.623946,15285,4,52.81641,1642.582,182.1211,4913.574,6
31833.12,1663,10.336134,15285,5,52.82422,1642.582,188.8516,4906.836,6
31834.85,1664,10.084034,15285,5,52.82422,1642.582,197.043,4898.645,6
31833.13,1663,10.168067,15253,4,52.82422,1642.582,200.6992,4894.988,6
31832.98,1663,10.729254,15253,4,52.82422,1642.5859,192.9336,4902.75,6
31832.98,1663,10.362258,15253,4,52.82422,1642.5898,191.3984,4904.281,6
31832.98,1663,10.151007,15253,5,52.83203,1642.582,187.7305,4907.949,6
31838.04,1664,10.645432,15285,5,52.83203,1642.5898,184.2227,4911.449,6
31836.13,1663,10.539629,15317,4,52.83984,1642.5898,184.7383,4910.926,6
31833.79,1663,10.075567,15317,4,52.83984,1642.5977,181.4258,4914.23,6
31838.62,1664,11.616162,15285,5,52.83984,1642.5977,180.0234,4915.633,6
31836.78,1662,10.00841,15285,4,52.83984,1642.5977,176.4023,4919.254,6
31835.44,1663,9.924306,15317,5,52.83984,1642.6016,181.6484,4914.004,6
31833.72,1655,10.504202,15349,4,52.84766,1642.6016,177.9688,4917.676,6
31833.56,1656,10.252101,15381,4,52.84766,1642.6016,174.6797,4920.965,6
31835.27,1661,9.899329,15381,7,52.84766,1642.6016,174.0273,4921.617,6
31833.6,1660,10.336134,15381,5,52.84766,1642.6016,184.2656,4911.379,6
31835.32,1654,9.815436,15349,5,52.84766,1642.6055,178.6094,4917.031,6
31833.6,1653,10.243493,15349,4,52.87109,1642.5703,183.0078,4912.645,6
31833.66,1653,9.882747,15349,4,52.87109,1642.6055,183.0078,4912.609,6
32133.91,1654,10.050251,15381,6,52.87109,1642.6094,180.8555,4914.758,6
31833.66,1650,10.402685,15349,4,52.88672,1642.6094,186.0859,4909.512,6
31834.07,1651,9.891031,15285,5,52.88672,1642.6094,184.9102,4910.688,6
31833.67,1650,10.292887,15285,4,52.88672,1642.6094,184.4492,4911.148,6
31833.64,1650,10.252101,15285,4,52.88672,1642.6094,183.3203,4912.277,6
32073.68,1650,10.561609,15285,5,52.88672,1642.6094,185.4961,4910.102,6
31833.69,1650,9.663866,15317,16,52.89453,1642.6094,183.875,4911.715,6
32083.45,1650,9.907641,15317,5,52.89453,1642.6094,190.8906,4904.699,6
31831.7,1651,10.0,15349,4,52.89453,1642.6172,187.5352,4908.047,6
31833.7,1651,10.681245,15349,4,52.89453,1642.6172,186.7773,4908.805,6
31835.46,1652,10.067114,15349,5,52.89453,1642.625,185.0,4910.574,6
31829.28,1652,10.53075,15381,5,52.90234,1642.6328,185.6719,4909.887,6
31831.28,1652,9.639564,15317,4,52.90234,1642.6406,192.375,4903.176,6
31831.28,1652,10.57047,15349,5,52.90234,1642.6406,183.3438,4912.207,6
31831.26,1652,10.243493,15349,4,52.90234,1642.6445,185.6445,4909.902,6
31936.02,1653,10.344828,15349,6,52.90234,1642.6445,197.832,4897.715,6
31835.41,1653,9.882747,15349,4,52.91016,1642.6445,196.9258,4898.613,6
32084.43,1653,9.848485,15349,5,52.91016,1642.6445,195.0273,4900.512,6
31835.48,1653,10.486577,15349,4,52.91016,1642.6445,194.6992,4900.84,6
31831.33,1652,9.739715,15349,4,52.91016,1642.6445,197.8633,4897.676,6
31833.39,1653,10.00841,15317,5,52.92578,1642.6484,195.9102,4899.609,6
31831.41,1652,10.26936,15285,4,52.92578,1642.6484,189.1797,4906.34,6
31831.6,1652,10.084034,15317,4,52.92578,1642.6484,186.7266,4908.793,6
31831.6,1652,10.243493,15317,4,52.92578,1642.6484,196.6211,4898.898,6
31831.69,1652,10.176619,15285,4,52.92578,1642.6484,193.1367,4902.383,6
31861.33,1653,10.327456,15285,6,52.93359,1642.6523,178.4453,4917.062,6
31831.77,1652,10.26936,15285,5,52.93359,1642.6523,184.3789,4911.129,6
32085.34,1653,9.831933,15253,5,52.93359,1642.6523,183.1602,4912.348,6
31831.77,1651,9.966499,15285,10,52.93359,1642.793,180.1133,4915.254,6
31831.77,1651,10.336134,15317,5,52.93359,1642.793,185.7852,4909.582,6
32085.32,1651,10.016835,15349,5,52.94141,1642.7852,187.0078,4908.359,6
32563.31,1652,10.310142,15349,5,52.94141,1642.7969,185.6367,4909.719,6
31831.79,1651,10.176619,15317,4,52.94922,1642.7891,184.2578,4911.098,6
31831.79,1651,10.075567,15349,4,52.94922,1642.7969,184.7539,4910.594,6
31831.76,1650,10.504202,15349,4,52.94922,1642.7969,179.832,4915.516,6
31833.9,1651,10.234899,15349,5,52.94922,1642.8008,189.375,4905.969,6
