gesture_recognition_mem.committed_Committed_AS,gesture_recognition_system.active_processes_active,gesture_recognition_system.cpu_user,gesture_recognition_system.file_nr_used_used,gesture_recognition_system.processes_running,gesture_recognition_system.ram_buffers,gesture_recognition_system.ram_cached,gesture_recognition_system.ram_free,gesture_recognition_system.ram_used,Target
26849.38,1589,12.542088,14816,6,30.75,1797.461,281.2148,4681.668,5
26596.48,1590,9.772536,14816,6,30.75,1797.52,276.875,4685.949,5
26595.13,1589,10.135135,14816,4,30.75781,1797.562,279.5781,4683.195,5
26597.06,1590,12.162162,14848,6,30.75781,1797.531,257.6875,4705.117,5
26595.21,1589,12.351946,14816,6,30.75781,1797.531,276.4766,4686.328,5
26600.77,1589,10.620221,14880,8,30.75781,1797.535,284.918,4677.883,5
26601.52,1589,25.5102,14880,5,30.75781,1797.547,242.2305,4720.559,5
26601.89,1589,14.492754,14880,4,30.75781,1797.547,289.9922,4672.797,5
26601.34,1587,8.389831,14880,4,30.76562,1797.551,286.0977,4676.68,5
26593.4,1588,16.170213,14880,5,30.78906,1797.527,353.0703,4609.707,5
26591.55,1587,8.284024,14816,4,30.78906,1797.539,373.582,4589.184,5
26594.99,1587,12.360515,14816,4,30.78906,1797.543,369.4023,4593.359,5
26595.12,1587,13.748933,14848,3,30.78906,1797.551,359.3203,4603.434,5
26595.12,1588,12.276215,14848,17,31.04688,1797.574,361.4375,4601.035,5
26597.17,1588,10.735418,14848,5,31.04688,1797.582,366.5664,4595.898,5
26587.24,1587,15.281276,14848,5,31.04688,1797.582,416.082,4546.383,5
26592.51,1587,14.609572,14816,5,31.04688,1797.586,427.9727,4534.488,5
26599.94,1588,10.765349,14816,4,31.04688,1797.586,426.6562,4535.805,5
26582.85,1587,10.840336,14816,5,31.05469,1797.586,423.543,4538.91,5
26580.07,1587,10.22632,14816,4,31.05469,1797.586,439.5586,4522.895,5
26592.64,1587,9.144295,14816,4,31.05469,1797.59,442.5703,4519.879,5
26592.53,1587,7.956449,14816,3,31.07812,1797.613,431.9062,4530.496,5
26592.54,1587,8.877722,14816,4,31.10938,1797.613,443.4961,4518.875,5
