object_detection_mem.committed_Committed_AS,object_detection_system.active_processes_active,object_detection_system.cpu_user,object_detection_system.file_nr_used_used,object_detection_system.processes_running,object_detection_system.ram_buffers,object_detection_system.ram_cached,object_detection_system.ram_free,object_detection_system.ram_used,Target
24241.82,1690,9.335576,15244,3,45.90625,1998.672,385.457,4361.062,0
24243.69,1691,7.220823,15244,4,45.90625,1998.672,390.8867,4355.633,0
24241.83,1687,6.124161,15276,2,45.90625,1998.672,392.1992,4354.32,0
24241.83,1687,6.554622,15276,2,45.91406,1998.672,399.8594,4346.652,0
24241.83,1687,6.554622,15276,1,45.91406,1998.672,397.5898,4348.922,0
24241.85,1687,7.802013,15276,3,45.91406,1998.672,395.2383,4351.273,0
24241.79,1687,8.823529,15244,3,45.91406,1998.672,395.4922,4351.02,0
24243.52,1688,8.64094,15180,4,45.91406,1998.672,395.2734,4351.238,0
24272.41,1687,9.93266,15212,3,45.92969,1998.672,359.7461,4386.75,0
24272.47,1687,8.670034,15212,4,45.92969,1998.672,357.957,4388.539,0
24269.41,1687,8.24222,15244,3,45.92969,1998.672,361.582,4384.914,0
24267.41,1687,8.187135,15244,4,45.92969,1998.684,342.082,4404.402,0
24247.01,1687,8.571429,15212,3,45.92969,1998.688,352.6289,4393.852,0
24247.01,1688,8.333333,15212,4,45.9375,1998.688,351.8086,4394.664,0
24247.01,1688,8.557047,15212,4,45.95312,1998.688,352.8672,4393.59,0
24250.84,1689,8.754209,15244,4,45.95312,1998.688,360.5156,4385.941,0
24241.86,1688,8.396306,15180,3,45.95312,1998.691,360.1719,4386.281,0
24241.86,1688,8.319328,15212,1,45.96094,1998.691,365.9102,4380.535,0
24497.88,1690,6.801008,15212,2,45.96094,1998.691,356.7227,4389.723,0
24251.39,1689,9.037162,15212,3,45.96094,1998.723,341.0156,4405.398,0
24251.4,1690,8.319328,15212,1,45.97266,1998.727,338.9062,4407.492,0
24246.98,1691,7.226891,15212,3,45.97266,1998.727,338.1133,4408.285,0
24241.28,1692,9.2827,15244,2,45.97266,1998.75,337.9961,4408.379,0
24238.02,1690,9.260833,15180,3,45.98047,1998.75,346.3555,4400.012,0
24239.8,1694,9.704641,15212,4,46.04688,1999.086,337.1641,4408.801,0
24238.11,1691,9.519798,15244,3,46.04688,1999.488,345.3086,4400.254,0
24238.11,1691,7.969799,15244,1,46.04688,1999.488,341.332,4404.23,0
24242.91,1692,7.148865,15244,2,46.04688,1999.488,344.3711,4401.191,0
24241.09,1691,6.986532,15244,1,46.04688,1999.488,341.1367,4404.426,0
24238.03,1691,7.744108,15212,2,46.04688,1999.488,350.3398,4395.223,0
24240.02,1692,7.892527,15212,4,46.05469,1999.488,346.3125,4399.242,0
24238.04,1691,8.221477,15244,3,46.05469,1999.488,341.4375,4404.117,0
24239.04,1693,8.655462,15244,5,46.05469,1999.488,343.0352,4402.52,0
24238.04,1691,8.739495999999999,15212,2,46.05469,1999.488,349.1367,4396.418,0
24242.06,1692,7.370184,15212,1,46.05469,1999.488,341.9922,4403.562,0
24242.06,1692,7.441472,15244,1,46.0625,1999.488,344.4141,4401.133,0
24243.66,1693,11.222781,15244,2,46.0625,1999.488,343.7539,4401.793,0
24237.93,1691,6.902357,15244,1,46.0625,1999.488,348.7344,4396.812,0
24237.89,1691,8.164983,15244,5,46.07812,1999.488,353.0859,4392.445,0
24237.89,1691,8.256108,15244,2,46.07812,1999.5,355.4219,4390.098,0
24237.89,1689,8.221477,15212,2,46.07812,1999.504,352.1328,4393.383,0
24237.89,1689,7.750631999999999,15212,2,46.07812,1999.504,352.4297,4393.086,0
24240.08,1689,8.319328,15212,2,46.07812,1999.504,351.8125,4393.703,0
24240.08,1690,8.746846,15180,2,46.08594,1999.598,353.2773,4392.137,0
24344.27,1691,8.571429,15212,3,46.08594,1999.598,353.0039,4392.41,0
24337.8,1697,8.732158,15212,4,46.08594,1999.598,353.3984,4392.016,0
24242.0,1691,9.144295,15244,2,46.08594,1999.598,353.1211,4392.293,0
24239.71,1691,8.458961,15212,5,46.21094,1999.598,360.625,4384.664,0
24238.38,1691,8.754209,15212,2,46.48828,1999.836,357.5625,4387.211,0
24244.38,1691,10.379747,15180,2,46.48828,2000.262,346.5703,4397.777,0
24244.38,1691,9.848485,15180,1,46.48828,2000.262,339.2383,4405.109,0
24244.43,1691,6.197655,15180,1,46.48828,2000.266,338.5,4405.844,0
24244.43,1691,6.598985,15212,1,46.48828,2000.363,330.3086,4413.938,0
24496.38,1692,6.745363,15212,2,46.5,2000.539,321.543,4422.516,0
