face_detection_mem.committed_Committed_AS,face_detection_system.active_processes_active,face_detection_system.cpu_user,face_detection_system.file_nr_used_used,face_detection_system.processes_running,face_detection_system.ram_buffers,face_detection_system.ram_cached,face_detection_system.ram_free,face_detection_system.ram_used,Target
24868.48,1659.0,10.780985,14678.0,14.0,72.28125,1803.566,824.2344,4091.016,4
24858.83,1659.0,11.271186,14710.0,16.0,72.28125,1809.379,836.5977,4072.84,4
24858.84,1659.0,4.64135,14710.0,16.0,72.28125,1809.383,827.6836,4081.75,4
24870.26,1660.0,6.503378,14710.0,20.0,72.28125,1809.875,817.5664,4091.375,4
24901.09,1660.0,26.39594,14678.0,20.0,71.86328,1777.598,766.8125,4174.824,4
24870.25,1660.0,36.42496,14678.0,19.0,71.86328,1784.656,720.5859,4213.992,4
24876.82,1660.0,14.56229,14710.0,10.0,71.78516,1763.125,741.7617,4214.426,4
24868.87,1659.0,14.777498,14710.0,17.0,71.79688,1763.227,671.3477,4284.727,4
24869.51,1659.0,16.288833,14710.0,8.0,71.79688,1763.234,664.4062,4291.66,4
24902.05,1659.0,17.25888,14710.0,18.0,71.80469,1763.469,598.8516,4356.973,4
24869.84,1659.0,20.49111,14678.0,17.0,71.69141,1745.355,609.3242,4364.727,4
24878.86,1660.0,14.987299,14678.0,6.0,71.83984,1748.574,612.3984,4358.285,4
25117.91,1661.0,24.53469,14646.0,11.0,71.9375,1749.016,528.332,4441.812,4
24864.49,1661.0,9.636517,14678.0,6.0,71.9375,1754.383,610.5195,4354.258,4
24864.36,1661.0,4.882155,14678.0,11.0,71.9375,1754.383,617.7656,4347.012,4
24955.61,1667.0,5.560236,14646.0,18.0,71.9375,1754.383,647.7812,4316.996,4
24865.0,1660.0,7.966102,14678.0,9.0,71.89062,1736.051,674.0781,4309.078,4
24864.93,1660.0,5.89722,14646.0,5.0,71.89453,1736.051,676.7773,4306.375,4
24876.7,1660.0,18.04962,14646.0,7.0,71.56641,1719.289,570.5469,4429.695,4
25090.77,1661.0,13.242784,14646.0,21.0,71.56641,1719.297,580.4531,4419.781,4
24878.77,1661.0,13.582343,14646.0,6.0,71.56641,1720.215,674.7188,4324.598,4
24877.61,1661.0,6.418919,14710.0,12.0,71.57812,1720.562,675.6797,4323.277,4
24879.01,1661.0,6.525424,14710.0,13.0,71.57812,1720.816,688.8594,4309.844,4
24896.22,1660.0,13.77551,14710.0,7.0,71.57812,1720.801,656.0977,4342.621,4
24886.33,1664.0,23.67973,14710.0,18.0,71.58594,1703.492,736.5039,4279.516,4
24867.25,1660.0,13.039797,14646.0,4.0,71.58594,1703.742,679.6172,4336.152,4
24871.26,1661.0,8.905852,14678.0,4.0,71.58594,1703.816,637.2461,4378.449,4
24861.5,1661.0,5.922166,14646.0,6.0,71.58594,1703.855,623.6484,4392.008,4
24914.64,1662.0,12.776831,14646.0,20.0,71.58594,1703.867,561.4414,4454.203,4
24880.21,1661.0,12.722646,14614.0,12.0,71.61328,1704.477,545.5703,4469.438,4
25138.07,1662.0,7.281964,14646.0,10.0,71.61328,1704.477,559.8945,4455.113,4
24882.67,1661.0,7.281964,14646.0,5.0,71.61328,1704.516,562.543,4452.426,4
24886.69,1661.0,8.135593,14678.0,4.0,71.61328,1704.762,560.9297,4453.793,4
24873.85,1660.0,23.36449,14678.0,3.0,71.74609,1708.766,532.3438,4478.242,4
