hand_landmarking_mem.committed_Committed_AS,hand_landmarking_system.active_processes_active,hand_landmarking_system.cpu_user,hand_landmarking_system.file_nr_used_used,hand_landmarking_system.processes_running,hand_landmarking_system.ram_buffers,hand_landmarking_system.ram_cached,hand_landmarking_system.ram_free,hand_landmarking_system.ram_used,Target
30698.9,1647,7.828283,15189,4,62.67578,1968.766,190.4141,4566.613,3
30698.91,1647,7.815126,15221,3,62.69141,1968.766,193.0391,4565.723,3
30612.18,1647,8.410429,15221,4,62.69141,1968.766,193.9297,4561.586,3
30610.46,1641,8.067227,15189,4,62.69141,1968.766,198.0508,4562.297,3
30610.46,1640,9.511785,15189,3,62.71094,1968.766,197.3398,4555.797,3
30610.18,1640,7.070707,15253,3,62.71094,1968.77,203.8398,4543.738,3
30610.21,1640,7.85473,15221,3,62.71094,1968.77,215.8789,4551.289,3
30640.09,1640,8.64094,15221,3,62.71094,1968.781,208.3242,4557.02,3
30610.21,1641,9.13663,15221,5,62.71094,1968.781,202.5938,4553.656,3
30614.49,1640,9.503785,15221,3,62.71875,1968.785,205.9453,4556.594,3
30616.2,1641,7.925801,15221,3,62.71875,1968.801,203.0078,4558.684,3
30614.5,1642,7.148865,15189,4,62.71875,1968.801,200.9062,4560.203,3
30703.41,1641,8.530405,15189,3,62.71875,1968.805,199.3711,4555.691,3
30610.35,1647,7.996633,15189,6,62.71875,1968.805,203.8828,4559.871,3
30610.35,1640,8.776371,15189,3,62.73438,1968.805,199.6992,4566.09,3
30863.84,1640,7.419899,15157,3,62.73438,1968.805,193.4805,4577.934,3
30610.25,1641,7.588533,15125,5,62.73438,1968.805,181.6211,4579.41,3
30612.39,1640,7.841484,15093,3,62.73438,1968.805,180.1445,4583.855,3
30612.4,1642,7.317073,15093,3,62.88281,1970.645,175.6992,4584.57,3
30612.4,1642,8.51602,15125,3,62.89062,1970.645,174.9844,4585.426,3
30612.93,1642,8.523207,15125,3,62.89062,1970.645,172.1406,4582.746,3
30609.71,1646,9.898477,15125,5,62.89062,1970.645,174.8125,4576.949,3
30609.71,1642,8.291457,15157,3,62.89062,1970.621,180.6094,4573.918,3
30609.71,1642,7.38255,15157,3,62.89062,1970.621,183.6406,4582.09,3
30609.71,1642,8.494533,15157,3,62.89844,1970.621,175.4922,4584.547,3
30611.25,1642,7.89916,15125,3,62.89844,1970.621,173.0352,4590.016,3
30609.56,1643,7.38255,15125,4,62.89844,1970.625,167.55859,4592.242,3
30609.57,1642,7.795474,15125,3,62.89844,1970.629,165.33203,4594.496,3
30609.57,1642,7.304786,15125,4,62.89844,1970.754,163.07422,4596.777,3
30609.57,1642,8.00337,15157,3,62.67969,1961.273,160.78906,4591.641,3
30863.22,1642,7.544007,15125,3,62.67969,1961.301,165.80078,4568.02,3
30616.65,1643,7.226891,15157,4,62.67969,1961.305,199.1211,4568.703,3
30616.71,1643,7.67285,15157,4,62.67969,1961.309,198.4102,4570.664,3
30616.71,1642,7.666386,15189,3,62.67969,1961.312,196.4453,4570.145,3
30612.57,1642,7.491582,15125,4,62.6875,1961.324,196.9609,4572.996,3
30614.31,1641,9.190556,15157,3,62.6875,1961.324,194.1055,4566.008,3
30612.41,1642,10.867734,15189,4,62.6875,1961.324,201.0742,4567.785,3
30612.41,1641,8.207705,15253,5,62.6875,1961.324,199.2969,4571.711,3
30614.25,1641,9.052808,15221,4,62.6875,1961.328,195.3711,4572.695,3
30612.41,1643,9.251472,15221,4,62.69531,1961.328,194.3867,4571.977,3
30621.21,1642,9.756098,15221,3,62.69531,1961.328,195.1016,4569.551,3
30619.48,1643,9.865093,15253,4,62.71094,1961.66,197.5195,4567.555,3
30616.45,1642,9.93266,15221,3,62.71094,1961.66,199.5156,4573.832,3
31345.71,1642,9.190556,15189,6,62.71094,1961.66,192.8906,4582.035,3
30616.45,1644,8.438819,15189,5,62.71094,1961.664,184.6875,4584.125,3
30618.06,1642,8.199493,15189,3,62.71094,1961.664,182.5977,4587.074,3
30616.37,1643,10.708263,15157,4,62.71875,1961.664,179.6445,4588.875,3
30616.37,1642,8.4246,15189,3,62.71875,1961.664,177.8438,4591.105,3
30646.25,1642,7.828283,15189,3,62.71875,1961.664,175.6055,4584.707,3
30620.39,1642,8.080808,15157,6,62.71875,1961.668,182.0039,4585.715,3
30620.62,1643,8.074012,15189,9,62.71875,1961.68,180.9961,4585.945,3
30617.55,1646,7.89916,15189,3,62.72656,1961.691,180.7617,4590.938,3
30620.62,1646,8.417508,15221,12,62.74219,1961.691,175.7578,4596.453,3
30622.34,1649,10.539629,15285,3,62.74219,1961.863,170.2227,4599.41,3
30617.59,1649,11.336717,15285,4,62.75391,1963.609,167.25,4592.754,3
30631.39,1648,16.372796,15253,3,62.75391,1963.867,173.7344,4591.418,3
30633.48,1655,11.739865,15221,4,63.58984,1965.977,173.3125,4596.27,3
30632.18,1657,11.139241,15189,6,63.84375,1966.449,168.2031,4592.59,3
