face_landmarking_mem.committed_Committed_AS,face_landmarking_system.active_processes_active,face_landmarking_system.cpu_user,face_landmarking_system.file_nr_used_used,face_landmarking_system.processes_running,face_landmarking_system.ram_buffers,face_landmarking_system.ram_cached,face_landmarking_system.ram_free,face_landmarking_system.ram_used,Target
10392.223,1018.0,4.789916,9398,18,80.11719,2777.996,1739.035,2193.938,8
10391.227,1015.0,3.706824,9398,15,80.11719,2777.996,1739.848,2193.125,8
10391.23,1015.0,4.717776,9398,18,80.13281,2778.379,1738.77,2194.203,8
10393.945,1016.0,5.382675,9398,15,80.13281,2778.379,1740.816,2191.758,8
10392.238,1015.0,4.117647,9398,14,80.13281,2778.379,1736.387,2196.188,8
10398.098,1017.0,3.117102,9462,16,80.13281,2778.379,1736.945,2195.629,8
10396.25,1016.0,4.79798,9462,17,80.13281,2778.379,1736.922,2195.652,8
10398.102,1017.0,4.882155,9462,16,80.14062,2778.379,1738.738,2193.836,8
10396.25,1016.0,4.95382,9462,15,80.14062,2778.379,1738.355,2194.211,8
10645.055,1016.0,6.734007,9430,15,80.14062,2778.383,1738.828,2193.738,8
10392.207,1015.0,4.208754,9430,13,80.14062,2778.383,1737.992,2194.57,8
10392.219,1015.0,5.434783,9430,15,80.14062,2778.383,1738.625,2193.938,8
10392.23,1015.0,4.882155,9430,16,80.14844,2778.383,1739.41,2193.152,8
10392.23,1015.0,4.614094,9430,17,80.14844,2778.383,1739.629,2192.926,8
10392.234,1015.0,4.198153,9462,17,80.14844,2778.383,1740.293,2192.262,8
10392.273,1015.0,4.026846,9430,17,80.15625,2778.383,1741.094,2191.461,8
10392.273,1015.0,3.878583,9462,11,80.15625,2778.383,1740.777,2191.77,8
10392.273,1015.0,5.285235,9462,6,80.15625,2778.383,1741.152,2191.395,8
10645.125,1016.0,5.704698,9462,9,80.15625,2778.383,1742.336,2190.211,8
10392.277,1015.0,3.868797,9462,16,80.15625,2778.383,1743.836,2188.711,8
10394.0,1016.0,4.2123,9462,17,80.16406,2778.383,1742.566,2189.98,8
10392.156,1015.0,4.373423,9462,17,80.16406,2778.383,1741.266,2191.273,8
10394.02,1016.0,4.369748,9494,5,80.16406,2778.383,1741.98,2190.559,8
10392.168,1015.0,4.026846,9494,16,80.16406,2778.383,1739.844,2192.695,8
10392.203,1015.0,4.358759,9494,16,80.16406,2778.383,1740.691,2191.848,8
10392.203,1015.0,3.604359,9462,17,80.17188,2778.383,1739.316,2193.223,8
10392.203,1015.0,3.956229,9462,17,80.17188,2778.383,1737.863,2194.668,8
10392.203,1015.0,3.865546,9494,17,80.17188,2778.383,1735.648,2196.883,8
10392.203,1015.0,3.862301,9462,17,80.17188,2778.383,1735.73,2196.801,8
10392.203,1015.0,3.619529,9494,14,80.17188,2778.383,1736.523,2196.008,8
10392.203,1015.0,3.772003,9494,9,80.17969,2778.383,1736.402,2196.129,8
10394.039,1016.0,3.198653,9494,16,80.17969,2778.383,1734.926,2197.598,8
10392.145,1015.0,3.709949,9494,11,80.17969,2778.383,1737.242,2195.281,8
10642.797,1015.0,3.697479,9462,14,80.17969,2778.383,1737.152,2195.371,8
10392.18,1015.0,3.794266,9462,14,80.24219,2778.383,1738.637,2193.887,8
10393.91,1016.0,3.946264,9494,17,80.24219,2778.383,1738.27,2194.191,8
10394.727,1021.0,4.191115,9494,16,80.24219,2778.383,1736.625,2195.836,8
10393.914,1016.0,3.936348,9462,11,80.24219,2778.383,1739.949,2192.512,8
10392.199,1015.0,4.522613,9494,7,80.24219,2778.387,1738.949,2193.512,8
10392.199,1015.0,5.276382,9494,6,80.25,2778.387,1737.312,2195.145,8
10392.199,1015.0,3.688181,9462,5,80.25,2778.387,1738.566,2193.883,8
10392.199,1015.0,7.478992,9430,4,80.25,2778.387,1740.301,2192.148,8
